date,edge_id,district,rainfall_24h_mm,slope_deg,soil_saturation,base_vulnerability,active_reports_count,disruption_level,blocked_flag
2021-01-03,osm_edge_05089,Cachar,5.3,3.7,0.53,0.17,0,15.3,0
2021-01-06,osm_edge_01451,West Jaintia Hills,37.2,23.3,0.82,0.72,1,52.1,0
2021-01-22,osm_edge_04533,Ri-Bhoi,21.5,10.9,0.59,0.32,0,25.0,0
2021-01-22,osm_edge_03826,Karimganj,2.4,4.3,0.58,0.19,0,20.5,0
2021-02-01,osm_edge_01841,Kamrup Metropolitan,24.5,1.3,0.69,0.13,0,23.1,0
2021-02-22,osm_edge_00327,Cachar,31.2,2.2,0.39,0.14,0,19.9,0
2021-03-10,osm_edge_00564,Karimganj,28.1,1.8,0.64,0.14,0,21.5,0
2021-03-12,osm_edge_00569,Karimganj,39.2,4.2,0.49,0.18,0,21.4,0
2021-05-03,osm_edge_00713,East Khasi Hills,24.2,12.8,0.68,0.51,0,31.3,0
2021-05-11,osm_edge_00459,East Khasi Hills,166.1,16.8,0.52,0.59,2,54.6,0
2021-05-13,osm_edge_00481,Karimganj,92.8,2.3,0.62,0.15,0,28.3,0
2021-05-15,osm_edge_04946,Cachar,80.6,3.7,0.69,0.17,0,30.6,0
2021-06-03,osm_edge_04538,Ri-Bhoi,77.5,10.8,0.37,0.32,0,25.6,0
2021-06-06,osm_edge_05251,Karimganj,287.7,3.3,0.68,0.17,1,54.9,0
2021-06-10,osm_edge_00877,Kamrup Metropolitan,112.9,5.2,0.6,0.2,0,35.4,0
2021-06-15,osm_edge_00896,East Khasi Hills,180.3,11.1,0.56,0.47,1,54.7,0
2021-06-18,osm_edge_04470,Karimganj,140.1,1.7,0.39,0.13,0,34.0,0
2021-06-20,osm_edge_02832,Ri-Bhoi,293.9,13.8,0.39,0.38,1,59.4,0
2021-06-21,osm_edge_01742,East Jaintia Hills,124.1,21.2,0.79,0.67,2,58.5,0
2021-06-21,osm_edge_01956,Cachar,255.5,2.5,0.46,0.15,2,43.4,0
2021-06-22,osm_edge_02911,East Khasi Hills,104.5,22.3,0.71,0.7,1,57.2,0
2021-06-22,osm_edge_00899,East Khasi Hills,159.2,17.3,0.52,0.6,2,58.5,0
2021-06-22,osm_edge_02707,Karimganj,248.1,3.4,0.54,0.17,2,53.0,0
2021-06-22,osm_edge_01391,Karimganj,272.8,4.2,0.47,0.18,2,54.3,0
2021-06-24,osm_edge_01072,Ri-Bhoi,205.8,7.9,0.6,0.26,1,45.3,0
2021-06-25,osm_edge_03463,Cachar,85.1,2.7,0.38,0.15,0,27.0,0
2021-06-28,osm_edge_02163,East Khasi Hills,275.6,9.1,0.72,0.43,2,60.4,0
2021-07-07,osm_edge_02172,East Khasi Hills,239.4,28.4,0.76,0.82,5,81.9,1
2021-07-07,osm_edge_04553,Ri-Bhoi,210.6,6.3,0.69,0.23,2,50.5,0
2021-07-07,osm_edge_03731,Karimganj,163.9,4.6,0.48,0.19,0,34.4,0
2021-07-11,osm_edge_03534,Cachar,92.4,4.1,0.58,0.18,0,33.9,0
2021-07-12,osm_edge_04789,Kamrup Metropolitan,192.5,2.5,0.7,0.15,1,40.0,0
2021-07-13,osm_edge_04155,Cachar,109.9,4.5,0.54,0.19,0,33.5,0
2021-07-15,osm_edge_05324,Ri-Bhoi,61.7,9.5,0.63,0.29,0,35.1,0
2021-07-17,osm_edge_05503,East Khasi Hills,76.6,17.9,0.59,0.61,0,39.7,0
2021-07-18,osm_edge_05358,East Khasi Hills,304.1,14.6,0.73,0.54,2,70.1,1
2021-07-19,osm_edge_05074,Cachar,113.1,3.6,0.68,0.17,0,36.3,0
2021-07-28,osm_edge_00469,East Khasi Hills,192.0,19.7,0.52,0.64,1,63.6,0
2021-07-28,osm_edge_04244,Ri-Bhoi,180.8,4.3,0.4,0.19,0,38.7,0
2021-08-08,osm_edge_05239,Karimganj,128.3,2.1,0.61,0.14,0,37.2,0
2021-08-13,osm_edge_04875,Ri-Bhoi,59.4,4.3,0.66,0.19,0,28.3,0
2021-08-13,osm_edge_02186,Kamrup Metropolitan,55.6,7.1,0.65,0.24,0,32.4,0
2021-08-17,osm_edge_01324,Karimganj,98.2,5.6,0.56,0.21,0,27.8,0
2021-08-19,osm_edge_05150,Kamrup Metropolitan,125.8,2.3,0.37,0.15,0,31.2,0
2021-08-25,osm_edge_00702,East Khasi Hills,125.6,19.7,0.54,0.64,1,56.1,0
2021-08-28,osm_edge_03771,Karimganj,50.9,2.1,0.36,0.14,0,16.3,0
2021-09-06,osm_edge_00227,Ri-Bhoi,26.1,9.4,0.69,0.29,0,29.4,0
2021-09-15,osm_edge_04579,Ri-Bhoi,100.8,9.7,0.6,0.29,2,40.1,0
2021-09-18,osm_edge_03573,Cachar,137.9,4.4,0.68,0.19,0,35.3,0
2021-09-20,osm_edge_03106,East Khasi Hills,153.4,20.5,0.64,0.66,1,56.2,0
2021-09-21,osm_edge_03787,Karimganj,71.9,4.4,0.43,0.19,0,27.2,0
2021-10-21,osm_edge_03522,Cachar,27.0,2.6,0.5,0.15,0,18.2,0
2021-11-05,osm_edge_03330,Cachar,6.5,5.6,0.43,0.21,0,19.9,0
2021-12-04,osm_edge_00654,Cachar,33.4,2.9,0.51,0.16,0,16.1,0
2021-12-08,osm_edge_00765,East Khasi Hills,8.5,11.7,0.67,0.48,0,29.8,0
2021-12-14,osm_edge_01991,East Jaintia Hills,17.2,15.8,0.73,0.57,0,36.6,0
2021-12-18,osm_edge_03631,Cachar,21.6,1.5,0.58,0.13,0,13.1,0
2021-12-21,osm_edge_04159,Cachar,24.4,2.5,0.57,0.15,0,15.6,0
2021-12-25,osm_edge_00046,Ri-Bhoi,8.8,12.7,0.62,0.35,0,30.9,0
2021-12-26,osm_edge_02974,Karimganj,35.1,2.5,0.37,0.15,0,21.0,0
2022-01-02,osm_edge_02177,West Jaintia Hills,30.0,13.0,0.81,0.51,0,38.5,0
2022-01-16,osm_edge_05364,Kamrup Metropolitan,24.9,6.5,0.44,0.23,0,19.4,0
2022-01-20,osm_edge_03998,Karimganj,36.8,1.3,0.57,0.13,0,24.6,0
2022-02-15,osm_edge_03953,Karimganj,36.9,3.8,0.48,0.18,0,20.4,0
2022-03-20,osm_edge_04275,Ri-Bhoi,19.3,11.9,0.54,0.34,0,26.3,0
2022-03-25,osm_edge_01119,East Khasi Hills,37.4,25.4,0.65,0.76,1,47.8,0
2022-04-02,osm_edge_01914,East Khasi Hills,36.5,15.0,0.67,0.55,0,36.7,0
2022-04-04,osm_edge_00823,Ri-Bhoi,28.9,8.8,0.51,0.28,0,23.8,0
2022-04-10,osm_edge_02436,Karimganj,38.4,3.8,0.37,0.18,0,14.3,0
2022-04-21,osm_edge_01487,Ri-Bhoi,18.8,12.0,0.69,0.34,0,29.0,0
2022-05-09,osm_edge_04507,Ri-Bhoi,84.7,6.6,0.69,0.23,0,33.6,0
2022-05-21,osm_edge_02867,Ri-Bhoi,59.6,3.4,0.36,0.17,0,23.9,0
2022-05-21,osm_edge_00741,Karimganj,46.6,4.5,0.39,0.19,0,18.4,0
2022-06-01,osm_edge_04669,Ri-Bhoi,186.8,8.4,0.46,0.27,2,42.9,0
2022-06-01,osm_edge_02427,Karimganj,71.8,4.5,0.39,0.19,0,19.3,0
2022-06-01,osm_edge_05226,Cachar,134.8,5.5,0.51,0.21,0,36.0,0
2022-06-02,osm_edge_03922,Karimganj,89.7,2.3,0.65,0.15,0,24.9,0
2022-06-03,osm_edge_03970,Karimganj,147.3,4.6,0.43,0.19,0,38.6,0
2022-06-03,osm_edge_01703,Kamrup Metropolitan,79.5,2.1,0.41,0.14,0,17.8,0
2022-06-09,osm_edge_02883,East Khasi Hills,142.0,13.1,0.75,0.51,1,54.0,0
2022-06-14,osm_edge_03817,Karimganj,306.0,2.9,0.62,0.16,2,52.5,0
2022-06-16,osm_edge_04003,Karimganj,266.2,4.2,0.52,0.18,1,47.8,0
2022-06-19,osm_edge_03313,Cachar,149.4,2.8,0.54,0.16,2,40.5,0
2022-06-19,osm_edge_00606,Karimganj,239.5,2.5,0.69,0.15,2,49.7,0
2022-06-22,osm_edge_05090,Cachar,180.9,1.6,0.68,0.13,0,38.8,0
2022-06-23,osm_edge_00661,Cachar,167.9,1.8,0.42,0.14,0,32.9,0
2022-06-25,osm_edge_03908,East Khasi Hills,277.3,16.6,0.81,0.58,3,74.6,1
2022-06-27,osm_edge_00930,East Khasi Hills,135.9,11.4,0.83,0.48,2,52.9,0
2022-06-28,osm_edge_02394,Ri-Bhoi,63.2,11.3,0.39,0.33,0,27.1,0
2022-07-01,osm_edge_04000,Karimganj,267.5,2.9,0.58,0.16,2,54.4,0
2022-07-02,osm_edge_03512,Cachar,178.2,2.3,0.46,0.15,0,35.6,0
2022-07-02,osm_edge_04029,Karimganj,306.8,1.8,0.63,0.14,1,52.3,0
2022-07-02,osm_edge_03691,Karimganj,242.8,2.2,0.6,0.14,1,48.0,0
2022-07-09,osm_edge_01304,Cachar,132.1,4.8,0.64,0.2,0,39.9,0
2022-07-09,osm_edge_02789,East Khasi Hills,109.7,20.2,0.68,0.65,2,50.2,0
2022-07-10,osm_edge_05139,Cachar,91.5,5.3,0.56,0.21,0,35.5,0
2022-07-10,osm_edge_02365,Karimganj,190.1,4.5,0.68,0.19,1,45.3,0
2022-07-10,osm_edge_00423,Kamrup Metropolitan,91.6,4.1,0.59,0.18,0,34.7,0
2022-07-11,osm_edge_04900,Dima Hasao,119.5,19.7,0.36,0.64,1,48.9,0
2022-07-12,osm_edge_00337,Cachar,63.3,1.3,0.58,0.13,0,22.6,0
2022-07-13,osm_edge_01393,Karimganj,297.3,4.1,0.43,0.18,2,50.6,0
2022-07-14,osm_edge_00010,Karimganj,221.9,1.3,0.53,0.13,2,43.5,0
2022-07-15,osm_edge_02724,Ri-Bhoi,315.0,13.3,0.65,0.37,2,65.4,0
2022-07-20,osm_edge_00971,Ri-Bhoi,195.9,11.7,0.43,0.33,2,47.5,0
2022-07-24,osm_edge_03022,East Khasi Hills,102.6,23.8,0.77,0.73,1,55.4,0
2022-07-24,osm_edge_01570,Kamrup Metropolitan,215.2,5.1,0.62,0.2,1,52.8,0
2022-08-10,osm_edge_00238,East Khasi Hills,59.1,15.9,0.65,0.57,1,40.5,0
2022-08-11,osm_edge_02631,Ri-Bhoi,126.0,7.5,0.52,0.25,0,35.5,0
2022-08-19,osm_edge_02318,East Khasi Hills,43.8,30.0,0.67,0.85,2,53.8,0
2022-08-27,osm_edge_04854,Ri-Bhoi,92.1,13.3,0.45,0.37,0,38.8,0
2022-09-13,osm_edge_02556,Karimganj,32.2,3.0,0.6,0.16,0,23.1,0
2022-09-14,osm_edge_03106,East Khasi Hills,23.1,13.5,0.53,0.52,0,32.2,0
2022-09-21,osm_edge_04016,Karimganj,44.5,5.5,0.51,0.21,0,20.2,0
2022-10-01,osm_edge_01046,Karimganj,26.5,5.5,0.56,0.21,0,17.9,0
2022-10-02,osm_edge_05508,East Khasi Hills,20.8,24.8,0.56,0.75,2,42.6,0
2022-11-05,osm_edge_05437,Karimganj,20.1,3.5,0.36,0.17,0,16.2,0
2022-11-06,osm_edge_04988,Cachar,16.3,2.6,0.35,0.15,0,10.9,0
2022-11-19,osm_edge_02168,West Jaintia Hills,17.0,21.9,0.98,0.69,1,48.6,0
2022-12-16,osm_edge_01632,Kamrup Metropolitan,14.4,1.7,0.48,0.13,0,13.1,0
2022-12-22,osm_edge_00658,Cachar,12.7,5.3,0.48,0.21,0,20.7,0
2023-01-22,osm_edge_02054,Kamrup Metropolitan,14.3,7.1,0.4,0.24,0,21.6,0
2023-02-05,osm_edge_00415,East Jaintia Hills,33.2,27.7,0.77,0.8,1,52.2,0
2023-02-12,osm_edge_03843,Karimganj,17.6,4.4,0.55,0.19,0,22.4,0
2023-02-24,osm_edge_05118,Cachar,27.1,3.2,0.49,0.16,0,15.8,0
2023-03-16,osm_edge_00372,Kamrup Metropolitan,21.5,1.8,0.43,0.14,0,14.2,0
