
edge_id,osm_id,u,v,name,ref,road_type,distance_km,avg_speed_kmh,slope_deg,base_vulnerability,soil_factor,district_context,oneway,layer,bridge,tunnel,code
osm_edge_0001,399525613,"(91.9967278, 25.1864686)","(91.9965097, 25.18638)",,,tertiary,0.024068700324728,35.0,4.767449855804443,,,,B,1,T,F,5115
osm_edge_0002,540552486,"(92.0847738, 25.1153993)","(92.1553226, 25.1117757)",,,tertiary,9.693569326039896,35.0,3.0581343173980717,,,,B,0,F,F,5115
osm_edge_0003,164431797,"(92.1199214, 25.1390444)","(92.112709, 25.1502644)",,N2,trunk,1.6399967029462958,50.0,2.279730319976806,,,,B,0,F,F,5112
osm_edge_0004,986809602,"(92.4304152, 24.996775)","(92.4355799, 25.0042614)",,,tertiary,1.2948703238957049,35.0,2.4898881912231445,,,,B,0,F,F,5115
osm_edge_0005,745016794,"(92.5020717, 25.0079671)","(92.5164062, 24.996775)",,NH6,trunk,2.0940035785649123,50.0,4.707987308502197,,,,B,0,F,F,5112
osm_edge_0006,366489517,"(92.4554396, 24.996775)","(92.4357757, 25.0093429)",,,tertiary,2.814540551417817,35.0,2.3732106685638428,,,,B,0,F,F,5115
osm_edge_0007,850774527,"(92.4368511, 25.0374291)","(92.4386566, 25.032995)",,NH6,trunk,1.0031134492443892,50.0,24.476905822753903,,,,B,0,F,F,5112
osm_edge_0008,566110583,"(92.4386566, 25.032995)","(92.4603715, 25.0345013)",,NH6,trunk,5.342748942784352,50.0,25.465408325195312,,,,B,0,F,F,5112
osm_edge_0009,666960671,"(92.4059536, 25.0488601)","(92.4368511, 25.0374291)",,NH6,trunk,6.424015463365086,50.0,25.457504272460938,,,,B,0,F,F,5112
osm_edge_0010,666960672,"(92.4061356, 25.0495084)","(92.4059536, 25.0488601)",,NH6,trunk,0.0786903002747993,50.0,22.59286880493164,,,,B,0,F,F,5112
osm_edge_0011,666960673,"(92.4058194, 25.0497118)","(92.4061356, 25.0495084)",,NH6,trunk,0.039047037330794,50.0,22.59286880493164,,,,B,1,T,F,5112
osm_edge_0012,44880799,"(92.3847413, 25.0617636)","(92.4058194, 25.0497118)",,NH6,trunk,4.790209454565864,50.0,17.49947738647461,,,,B,0,F,F,5112
osm_edge_0013,741589136,"(92.3843926, 25.0618851)","(92.3847413, 25.0617636)",,NH6,trunk,0.0376568078842475,50.0,3.8620316982269287,,,,B,0,T,F,5112
osm_edge_0014,741591984,"(92.3794918, 25.0719616)","(92.3843926, 25.0618851)",,NH6,trunk,2.08607727519315,50.0,9.54270362854004,,,,B,0,F,F,5112
osm_edge_0015,741589137,"(92.3541614, 25.0806456)","(92.3788131, 25.0720513)",,NH6,trunk,5.571102556725588,50.0,20.99608039855957,,,,B,0,F,F,5112
osm_edge_0016,366130591,"(92.362318, 25.1078801)","(92.3541614, 25.0806456)",,NH6,trunk,5.215816154391463,50.0,31.12933921813965,,,,B,0,F,F,5112
osm_edge_0017,366130590,"(92.3613162, 25.1084653)","(92.362318, 25.1078801)",Lubha Bridge,NH6,trunk,0.1200117608688604,50.0,29.32119369506836,,,,B,1,T,F,5112
osm_edge_0018,986809583,"(92.3623389, 25.1114692)","(92.3613162, 25.1084653)",,NH6,trunk,0.3986734730121555,50.0,30.750629425048828,,,,B,0,F,F,5112
osm_edge_0019,986809584,"(92.3629098, 25.1119501)","(92.3623389, 25.1114692)",,NH6,trunk,0.0784157800909801,50.0,10.3817138671875,,,,B,1,T,F,5112
osm_edge_0020,741591985,"(92.3788131, 25.0720513)","(92.3794918, 25.0719616)",,NH6,trunk,0.0691676988771307,50.0,10.572839736938477,,,,B,1,T,F,5112
osm_edge_0021,44880793,"(92.3936892, 25.1694993)","(92.3629098, 25.1119501)",,NH6,trunk,12.647878645650255,50.0,22.327852249145508,,,,B,0,F,F,5112
osm_edge_0022,164431807,"(92.112709, 25.1502644)","(92.1121149, 25.1504307)",,N2,trunk,0.0626511151034566,50.0,2.8305904865264893,,,,B,1,T,F,5112
osm_edge_0023,164431816,"(92.1121149, 25.1504307)","(92.1085237, 25.1522829)",,N2,trunk,0.4222296519066121,50.0,2.2857489585876465,,,,B,0,F,F,5112
osm_edge_0024,164431809,"(92.1085237, 25.1522829)","(92.1083866, 25.1526874)",,N2,trunk,0.0468781914701514,50.0,2.3664262294769287,,,,B,1,T,F,5112
osm_edge_0025,1089663041,"(92.1083866, 25.1526874)","(92.1057205, 25.1546355)",,N2,trunk,0.3543976144513285,50.0,2.633289098739624,,,,B,0,F,F,5112
osm_edge_0026,1089663040,"(92.1057205, 25.1546355)","(92.1053395, 25.1550618)",,N2,trunk,0.0608559205808841,50.0,1.686115860939026,,,,B,1,T,F,5112
osm_edge_0027,164431794,"(92.1053395, 25.1550618)","(92.1000891, 25.1589742)",,N2,trunk,0.6889419571467393,50.0,2.3436594009399414,,,,B,0,F,F,5112
osm_edge_0028,164431810,"(92.1000891, 25.1589742)","(92.0995068, 25.1594823)",,N2,trunk,0.0813055127749826,50.0,3.695171356201172,,,,B,1,T,F,5112
osm_edge_0029,164431813,"(92.0995068, 25.1594823)","(92.0960644, 25.1645071)",,N2,trunk,0.6576710098723432,50.0,2.147193193435669,,,,B,0,F,F,5112
osm_edge_0030,164431808,"(92.0960644, 25.1645071)","(92.0958493, 25.1648717)",,N2,trunk,0.045842558791533,50.0,3.3626177310943604,,,,B,1,T,F,5112
osm_edge_0031,164431798,"(92.1162585, 25.1262412)","(92.120375, 25.1383165)",,N2,trunk,1.7094393614790797,50.0,2.470021247863769,,,,B,0,F,F,5112
osm_edge_0032,164431802,"(92.120375, 25.1383165)","(92.1199214, 25.1390444)",,N2,trunk,0.0926746230742422,50.0,2.3695003986358643,,,,B,1,T,F,5112
osm_edge_0033,164431818,"(92.0349856, 25.1812989)","(92.0175478, 25.1567425)",Tamabil - Jaflong Road,N2,trunk,4.4016946625394375,50.0,2.8402998447418213,,,,B,0,F,F,5112
osm_edge_0034,164431815,"(92.0958493, 25.1648717)","(92.0558506, 25.1772441)",,N2,trunk,4.850864963728271,50.0,3.2196502685546875,,,,B,0,F,F,5112
osm_edge_0035,164431801,"(92.0558506, 25.1772441)","(92.0554223, 25.1770172)",,N2,trunk,0.0499438255774177,50.0,2.8583569526672363,,,,B,1,T,F,5112
osm_edge_0036,164431812,"(92.0554223, 25.1770172)","(92.032028, 25.1838543)",Sylhet - Tamabil Highway,N2,trunk,2.6514571401630453,50.0,5.461532115936279,,,,B,0,F,F,5112
osm_edge_0037,557825121,"(92.0342852, 25.1812347)","(92.0343092, 25.1815188)",,,trunk_link,0.0315552588416369,35.0,1.1495906114578247,,,,B,0,F,F,5132
osm_edge_0038,399525630,"(91.9965097, 25.18638)","(91.991546, 25.1807238)",,,tertiary,0.8744359092619088,35.0,4.767449855804443,,,,B,0,F,F,5115
osm_edge_0039,395997747,"(92.0259717, 25.1845564)","(92.0262928, 25.1857931)",,NH206,trunk,0.178265997910575,50.0,20.600845336914062,,,,B,0,F,F,5112
osm_edge_0040,557027082,"(92.0194607, 25.1897692)","(92.0259717, 25.1845564)",,NH206,trunk,1.6291833844505612,50.0,13.25615692138672,,,,B,0,F,F,5112
osm_edge_0041,399525593,"(92.005312, 25.1889922)","(91.9967278, 25.1864686)",,,tertiary,1.0706356497427811,35.0,12.562240600585938,,,,B,0,F,F,5115
osm_edge_0042,557027073,"(92.0072975, 25.1898872)","(92.0187109, 25.1901875)",,NH206,trunk,1.612680415721666,50.0,15.767393112182615,,,,B,0,F,F,5112
osm_edge_0043,557027070,"(92.0053723, 25.189179)","(92.005312, 25.1889922)",,,tertiary,0.0215610967662939,35.0,13.016672134399414,,,,B,1,T,F,5115
osm_edge_0044,557027071,"(92.0066102, 25.1893526)","(92.0053723, 25.189179)",,,tertiary,0.1564226129522239,35.0,11.37941837310791,,,,B,0,F,F,5115
osm_edge_0045,667844586,"(92.0604891, 25.2112168)","(92.0771, 25.2101126)",,,tertiary,3.010535315500703,35.0,6.523158073425293,,,,B,0,F,F,5115
osm_edge_0046,133755842,"(92.032028, 25.1838543)","(92.0259717, 25.1845564)",,NH206,trunk,0.8849712972952426,50.0,11.049659729003906,,,,B,0,F,F,5112
osm_edge_0047,752024164,"(92.0262928, 25.1857931)","(92.0405361, 25.2051935)",,NH206,trunk,7.353067875926111,50.0,14.60288906097412,,,,B,0,F,F,5112
osm_edge_0048,44880788,"(92.0405361, 25.2051935)","(92.0883259, 25.2208817)",,NH206,trunk,8.13122438804299,50.0,9.954272270202637,,,,B,0,F,F,5112
osm_edge_0049,557027067,"(92.0049593, 25.1904084)","(92.0072264, 25.1898805)",,NH206,trunk,0.3611585312207457,50.0,10.767583847045898,,,,B,0,F,F,5112
osm_edge_0050,557027072,"(92.0072264, 25.1898805)","(92.0072975, 25.1898872)",,NH206,trunk,0.0072028196630843,50.0,4.589207649230957,,,,B,1,T,F,5112
osm_edge_0051,557027080,"(92.0187109, 25.1901875)","(92.0194607, 25.1897692)",,NH206,trunk,0.0886252755788942,50.0,7.031147003173828,,,,B,1,T,F,5112
osm_edge_0052,557027066,"(92.0050706, 25.1905637)","(92.0049593, 25.1904084)",,NH206,trunk,0.0205323721547619,50.0,11.21566104888916,,,,B,1,T,F,5112
osm_edge_0053,557027065,"(92.0041412, 25.1915946)","(92.0050706, 25.1905637)",,NH206,trunk,0.2116068671983128,50.0,14.30503273010254,,,,B,0,F,F,5112
osm_edge_0054,557027064,"(92.0040158, 25.1915789)","(92.0041412, 25.1915946)",,NH206,trunk,0.012755017572106,50.0,22.32459259033203,,,,B,1,T,F,5112
osm_edge_0055,754006228,"(91.991546, 25.2067385)","(92.0040158, 25.1915789)",,NH206,trunk,4.425677864770647,50.0,12.019580841064451,,,,B,0,F,F,5112
osm_edge_0056,667844482,"(92.2130316, 25.1513011)","(92.2534874, 25.1638115)",,,tertiary,6.523097698514393,35.0,14.56854248046875,,,,B,0,F,F,5115
osm_edge_0057,667844481,"(92.2534874, 25.1638115)","(92.2533493, 25.1639098)",,,tertiary,0.0176694446791536,35.0,15.782913208007812,,,,B,1,T,F,5115
osm_edge_0058,667844487,"(92.2533493, 25.1639098)","(92.2501937, 25.2330091)",,,tertiary,15.78535582001462,35.0,6.403733253479004,,,,B,0,F,F,5115
osm_edge_0059,558327389,"(92.1471673, 25.2337388)","(92.2061142, 25.2042616)",Lynnongsynn Road,,tertiary,9.42270618396155,35.0,5.051641941070557,,,,B,0,F,F,5115
osm_edge_0060,558329511,"(92.2235137, 25.2355561)","(92.2222249, 25.2299107)",,,tertiary,0.9233036812696308,35.0,27.574302673339844,,,,B,0,F,F,5115
osm_edge_0061,558329513,"(92.2249393, 25.2345547)","(92.2236244, 25.2356113)",,,tertiary,0.2004046118321543,35.0,16.510610580444336,,,,B,0,F,F,5115
osm_edge_0062,558329509,"(92.2235137, 25.2355561)","(92.2236244, 25.2356113)",,,tertiary,0.0127158615933632,35.0,15.20944595336914,,,,B,0,T,F,5115
osm_edge_0063,667865676,"(92.1544146, 25.1876511)","(92.1482697, 25.2213867)",,,tertiary,5.401875481469852,35.0,8.304542541503906,,,,B,0,F,F,5115
osm_edge_0064,667865675,"(92.1482697, 25.2213867)","(92.1483689, 25.2215008)",,,tertiary,0.0161097045144228,35.0,1.8156077861785889,,,,B,1,T,F,5115
osm_edge_0065,667865674,"(92.1483689, 25.2215008)","(92.1478996, 25.2311603)",,,tertiary,1.2657204552385146,35.0,5.440759658813477,,,,B,0,F,F,5115
osm_edge_0066,667699565,"(92.2166902, 25.2644533)","(92.2222249, 25.2299107)",,,tertiary,8.11696948461266,35.0,10.70578956604004,,,,B,0,F,F,5115
osm_edge_0067,558327391,"(92.1480605, 25.2345219)","(92.1999083, 25.2627729)",,,secondary,9.585617324333372,40.0,4.847266674041748,,,,B,0,F,F,5114
osm_edge_0068,558327390,"(92.1999083, 25.2627729)","(92.2023135, 25.2637037)",,,secondary,0.2635596733275481,40.0,23.5189208984375,,,,B,1,T,F,5114
osm_edge_0069,667844521,"(92.2501937, 25.2330091)","(92.3137808, 25.2686581)",,,tertiary,10.341588148608492,35.0,6.779223442077637,,,,B,0,F,F,5115
