id,name,district,state,lat,lon,type,population,buffer_days,description
road_node_001,Lubha Bridge,Jaintia Hills,Meghalaya,25.1084653,92.3613162,road_node,395124,5,OSM-derived road endpoint
road_node_002,NH6,Jaintia Hills,Meghalaya,25.1078801,92.362318,road_node,395124,5,OSM-derived road endpoint
road_node_003,NH6,Dima Hasao,Assam,25.461845499999995,92.9769945,road_node,214102,7,OSM-derived road endpoint
road_node_004,Lubha Bridge,Dima Hasao,Assam,25.418919299999992,92.9898809,road_node,214102,7,OSM-derived road endpoint
road_node_005,SH16,Karbi Anglong,Assam,25.944759099999995,92.6061452,road_node,956313,5,OSM-derived road endpoint
road_node_006,SH16,Karbi Anglong,Assam,25.9700632,92.5946666,road_node,956313,5,OSM-derived road endpoint
road_node_007,NH627,Dima Hasao,Assam,25.5469681,92.9733588,road_node,214102,7,OSM-derived road endpoint
road_node_008,SH18,Dima Hasao,Assam,25.4761739,92.9665554,road_node,214102,7,OSM-derived road endpoint
road_node_009,Baithalangso Rd,Dima Hasao,Assam,25.4617342,92.9762596,road_node,214102,7,OSM-derived road endpoint
road_node_010,panenkoek,East Khasi Hills,Meghalaya,25.587415722955523,91.991546,road_node,825922,5,OSM-derived road endpoint
road_node_011,Baithalangso Rd,East Khasi Hills,Meghalaya,25.592559,92.0356719,road_node,825922,5,OSM-derived road endpoint
road_node_012,a3,Karbi Anglong,Assam,26.003597,92.4994148092559,road_node,956313,5,OSM-derived road endpoint
road_node_013,SH16,Nagaon,Assam,25.970688,92.5918163,road_node,2823768,3,OSM-derived road endpoint
road_node_014,SH16,East Khasi Hills,Meghalaya,25.592505800000005,92.0357712,road_node,825922,5,OSM-derived road endpoint
road_node_015,SH16,East Khasi Hills,Meghalaya,25.596817699999995,92.040174,road_node,825922,5,OSM-derived road endpoint
road_node_016,SH16,Dima Hasao,Assam,25.6231815,92.9193136,road_node,214102,7,OSM-derived road endpoint
road_node_017,SH16,Nagaon,Assam,25.970049300000003,92.5932814,road_node,2823768,3,OSM-derived road endpoint
road_node_018,SH16,Karbi Anglong,Assam,25.933003400000004,92.7014984,road_node,956313,5,OSM-derived road endpoint
road_node_019,Bypass Connector,East Khasi Hills,Meghalaya,25.5512011,92.0514903,road_node,825922,5,OSM-derived road endpoint
road_node_020,Bypass Connector,East Khasi Hills,Meghalaya,25.5512874,92.0514491,road_node,825922,5,OSM-derived road endpoint
road_node_021,Bypass Connector,Jaintia Hills,Meghalaya,25.1770172,92.0554223,road_node,395124,5,OSM-derived road endpoint
road_node_022,de a2 panenkoek,Jaintia Hills,Meghalaya,25.1838543,92.032028,road_node,395124,5,OSM-derived road endpoint
road_node_023,NH627,East Khasi Hills,Meghalaya,25.5968616,92.0405244,road_node,825922,5,OSM-derived road endpoint
road_node_024,de a2 panenkoek,East Khasi Hills,Meghalaya,25.6026364,92.0498447,road_node,825922,5,OSM-derived road endpoint
