osm_node_id,lat,lon,node_type
osm_node_00001,25.1864686,91.9967278,osm_network_node
osm_node_00002,25.18638,91.9965097,osm_network_node
osm_node_00003,25.1153993,92.0847738,osm_network_node
osm_node_00004,25.1117757,92.1553226,osm_network_node
osm_node_00005,25.1390444,92.1199214,osm_network_node
osm_node_00006,25.1502644,92.112709,osm_network_node
osm_node_00007,24.996775,92.4304152,osm_network_node
osm_node_00008,25.0042614,92.4355799,osm_network_node
osm_node_00009,25.0079671,92.5020717,osm_network_node
osm_node_00010,24.996775,92.5164062,osm_network_node
osm_node_00011,24.996775,92.4554396,osm_network_node
osm_node_00012,25.0093429,92.4357757,osm_network_node
osm_node_00013,25.0374291,92.4368511,osm_network_node
osm_node_00014,25.032995,92.4386566,osm_network_node
osm_node_00015,25.0345013,92.4603715,osm_network_node
osm_node_00016,25.0488601,92.4059536,osm_network_node
osm_node_00017,25.0495084,92.4061356,osm_network_node
osm_node_00018,25.0497118,92.4058194,osm_network_node
osm_node_00019,25.0617636,92.3847413,osm_network_node
osm_node_00020,25.0618851,92.3843926,osm_network_node
osm_node_00021,25.0719616,92.3794918,osm_network_node
osm_node_00022,25.0806456,92.3541614,osm_network_node
osm_node_00023,25.0720513,92.3788131,osm_network_node
osm_node_00024,25.1078801,92.362318,osm_network_node
osm_node_00025,25.1084653,92.3613162,osm_network_node
osm_node_00026,25.1114692,92.3623389,osm_network_node
osm_node_00027,25.1119501,92.3629098,osm_network_node
osm_node_00028,25.1694993,92.3936892,osm_network_node
osm_node_00029,25.1504307,92.1121149,osm_network_node
osm_node_00030,25.1522829,92.1085237,osm_network_node
osm_node_00031,25.1526874,92.1083866,osm_network_node
osm_node_00032,25.1546355,92.1057205,osm_network_node
osm_node_00033,25.1550618,92.1053395,osm_network_node
osm_node_00034,25.1589742,92.1000891,osm_network_node
osm_node_00035,25.1594823,92.0995068,osm_network_node
osm_node_00036,25.1645071,92.0960644,osm_network_node
osm_node_00037,25.1648717,92.0958493,osm_network_node
osm_node_00038,25.1262412,92.1162585,osm_network_node
osm_node_00039,25.1383165,92.120375,osm_network_node
osm_node_00040,25.1812989,92.0349856,osm_network_node
osm_node_00041,25.1567425,92.0175478,osm_network_node
osm_node_00042,25.1772441,92.0558506,osm_network_node
osm_node_00043,25.1770172,92.0554223,osm_network_node
osm_node_00044,25.1838543,92.032028,osm_network_node
osm_node_00045,25.1812347,92.0342852,osm_network_node
osm_node_00046,25.1815188,92.0343092,osm_network_node
osm_node_00047,25.1807238,91.991546,osm_network_node
osm_node_00048,25.1845564,92.0259717,osm_network_node
osm_node_00049,25.1857931,92.0262928,osm_network_node
osm_node_00050,25.1897692,92.0194607,osm_network_node
osm_node_00051,25.1889922,92.005312,osm_network_node
osm_node_00052,25.1898872,92.0072975,osm_network_node
osm_node_00053,25.1901875,92.0187109,osm_network_node
osm_node_00054,25.189179,92.0053723,osm_network_node
osm_node_00055,25.1893526,92.0066102,osm_network_node
osm_node_00056,25.2112168,92.0604891,osm_network_node
osm_node_00057,25.2101126,92.0771,osm_network_node
osm_node_00058,25.2051935,92.0405361,osm_network_node
osm_node_00059,25.2208817,92.0883259,osm_network_node
osm_node_00060,25.1904084,92.0049593,osm_network_node
osm_node_00061,25.1898805,92.0072264,osm_network_node
osm_node_00062,25.1905637,92.0050706,osm_network_node
osm_node_00063,25.1915946,92.0041412,osm_network_node
osm_node_00064,25.1915789,92.0040158,osm_network_node
osm_node_00065,25.2067385,91.991546,osm_network_node
osm_node_00066,25.1513011,92.2130316,osm_network_node
osm_node_00067,25.1638115,92.2534874,osm_network_node
osm_node_00068,25.1639098,92.2533493,osm_network_node
osm_node_00069,25.2330091,92.2501937,osm_network_node
osm_node_00070,25.2337388,92.1471673,osm_network_node
osm_node_00071,25.2042616,92.2061142,osm_network_node
osm_node_00072,25.2355561,92.2235137,osm_network_node
osm_node_00073,25.2299107,92.2222249,osm_network_node
osm_node_00074,25.2345547,92.2249393,osm_network_node
osm_node_00075,25.2356113,92.2236244,osm_network_node
osm_node_00076,25.1876511,92.1544146,osm_network_node
osm_node_00077,25.2213867,92.1482697,osm_network_node
osm_node_00078,25.2215008,92.1483689,osm_network_node
osm_node_00079,25.2311603,92.1478996,osm_network_node
osm_node_00080,25.2644533,92.2166902,osm_network_node
osm_node_00081,25.2345219,92.1480605,osm_network_node
osm_node_00082,25.2627729,92.1999083,osm_network_node
osm_node_00083,25.2637037,92.2023135,osm_network_node
osm_node_00084,25.2686581,92.3137808,osm_network_node
osm_node_00085,25.2802857,92.3152345,osm_network_node
osm_node_00086,25.3167184,92.2692883,osm_network_node
osm_node_00087,25.3169996,92.2698784,osm_network_node
osm_node_00088,25.3173973,92.2850811,osm_network_node
osm_node_00089,25.2289293,92.0093393,osm_network_node
osm_node_00090,25.2287412,92.0095325,osm_network_node
osm_node_00091,25.2336109,92.029193,osm_network_node
osm_node_00092,25.2527502,92.0199636,osm_network_node
osm_node_00093,25.248963,92.095378,osm_network_node
osm_node_00094,25.279947,92.103224,osm_network_node
osm_node_00095,25.2853796,92.1053771,osm_network_node
osm_node_00096,25.2873144,92.1078419,osm_network_node
osm_node_00097,25.2853777,92.1051989,osm_network_node
osm_node_00098,25.2898217,92.0869625,osm_network_node
osm_node_00099,25.2873038,92.1083385,osm_network_node
osm_node_00100,25.2528181,92.0198402,osm_network_node
osm_node_00101,25.2531626,92.0133439,osm_network_node
osm_node_00102,25.2537423,92.0150202,osm_network_node
osm_node_00103,25.254441,92.0181665,osm_network_node
osm_node_00104,25.253689,92.0152751,osm_network_node
osm_node_00105,25.2544434,92.0180029,osm_network_node
osm_node_00106,25.2566121,92.0411396,osm_network_node
osm_node_00107,25.2672765,92.0261586,osm_network_node
osm_node_00108,25.2897853,92.0868149,osm_network_node
osm_node_00109,25.3377932,92.0910901,osm_network_node
osm_node_00110,25.3306744,92.0947,osm_network_node
osm_node_00111,25.3379171,92.0908916,osm_network_node
osm_node_00112,25.3526329,92.0554309,osm_network_node
osm_node_00113,25.3538019,92.08972,osm_network_node
osm_node_00114,25.349849,92.0967043,osm_network_node
osm_node_00115,25.3538346,92.0896117,osm_network_node
osm_node_00116,25.3530598,92.0544792,osm_network_node
osm_node_00117,25.3567354,92.0890814,osm_network_node
osm_node_00118,25.3567889,92.0889767,osm_network_node
osm_node_00119,25.3596906,92.0854098,osm_network_node
osm_node_00120,25.3599801,92.0854711,osm_network_node
osm_node_00121,25.3632293,92.0785083,osm_network_node
osm_node_00122,25.3631864,92.0784319,osm_network_node
osm_node_00123,25.3762397,92.0697582,osm_network_node
osm_node_00124,25.3471522,92.1442165,osm_network_node
osm_node_00125,25.3883133,92.1538963,osm_network_node
osm_node_00126,25.3674397,92.0733441,osm_network_node
osm_node_00127,25.3674976,92.0731842,osm_network_node
osm_node_00128,25.373652,92.0686455,osm_network_node
osm_node_00129,25.3736947,92.0686,osm_network_node
osm_node_00130,25.3785038,92.0771822,osm_network_node
osm_node_00131,25.3785697,92.0772362,osm_network_node
osm_node_00132,25.316691,92.128929,osm_network_node
osm_node_00133,25.3070196,92.1458799,osm_network_node
osm_node_00134,25.3233765,92.1327167,osm_network_node
osm_node_00135,25.3469304,92.1440235,osm_network_node
